Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
2,192.168.10.10,22,192.168.10.20,53626,6,0,210,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,400000,9523,210.0,0.0,210.0,210.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,0.0,210.0,210.0,0,1,0,0,0,64,0.0,9523.809523809525,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,192.168.10.10,22,192.168.10.20,53628,6,0,552,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,152173,3623,552.0,0.0,552.0,552.0,0.0,0.0,0.0,0.0,0.0,552.0,552.0,0.0,552.0,552.0,0,1,0,0,0,64,0.0,3623.1884057971015,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,192.168.10.10,22,192.168.10.20,53630,6,0,278,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,302158,7194,278.0,0.0,278.0,278.0,0.0,0.0,0.0,0.0,0.0,278.0,278.0,0.0,278.0,278.0,0,1,0,0,0,64,0.0,7194.244604316546,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,192.168.10.10,22,192.168.10.20,53634,6,0,393,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,213740,5089,393.0,0.0,393.0,393.0,0.0,0.0,0.0,0.0,0.0,393.0,393.0,0.0,393.0,393.0,0,1,0,0,0,64,0.0,5089.058524173028,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,192.168.10.10,22,192.168.10.20,53640,6,0,238,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,352941,8403,238.0,0.0,238.0,238.0,0.0,0.0,0.0,0.0,0.0,238.0,238.0,0.0,238.0,238.0,0,1,0,0,0,64,0.0,8403.361344537814,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,192.168.10.10,22,192.168.10.20,53644,6,0,149,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,563758,13422,149.0,0.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,149.0,149.0,0.0,149.0,149.0,0,1,0,0,0,64,0.0,13422.818791946309,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,192.168.10.10,22,192.168.10.20,53636,6,0,285,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,294736,7017,285.0,0.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,285.0,285.0,0.0,285.0,285.0,0,1,0,0,0,64,0.0,7017.543859649124,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,192.168.10.10,22,192.168.10.20,53632,6,0,89,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,943820,22471,89.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,0.0,89.0,89.0,0,1,0,0,0,64,0.0,22471.91011235955,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,192.168.10.10,22,192.168.10.20,53638,6,0,274,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,306569,7299,274.0,0.0,274.0,274.0,0.0,0.0,0.0,0.0,0.0,274.0,274.0,0.0,274.0,274.0,0,1,0,0,0,64,0.0,7299.270072992701,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,192.168.10.10,22,192.168.10.20,53652,6,1,294,0,2,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,42.0,59.39696961966999,285714,6802,294.0,0.0,294.0,294.0,0.0,0.0,0.0,0.0,0.0,294.0,294.0,0.0,294.0,294.0,0,1,0,0,0,64,0.0,6802.7210884353735,0.0,84.0,56.0,48.497422611928556,2352.0,0,0,0,1,1,0,0,0,0.0,84.0,0.0,42.0,0,0,0,0,0,0,0,2,84,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
