Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
192.168.10.20-8.8.8.8-33196-5200-6,192.168.10.20,33196,8.8.8.8,5200,6,24/05/2022 06:45:23 AM,23605725,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,23605725.0,0.0,23605725.0,23605725.0,0.0,0.0,0.0,0.0,0.0,23605725.0,23605725.0,0.0,23605725.0,23605725.0,0,0,0,0,0,60,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,23605725.0,0.0,23605725.0,23605725.0,0
192.168.10.20-8.8.8.8-34192-1721-6,192.168.10.20,34192,8.8.8.8,1721,6,24/05/2022 06:45:21 AM,25197334,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,25197334.0,0.0,25197334.0,25197334.0,0.0,0.0,0.0,0.0,0.0,25197334.0,25197334.0,0.0,25197334.0,25197334.0,0,0,0,0,0,60,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,25197334.0,0.0,25197334.0,25197334.0,0
192.168.10.20-8.8.8.8-41414-1084-6,192.168.10.20,41414,8.8.8.8,1084,6,24/05/2022 06:45:22 AM,24850630,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,24850630.0,0.0,24850630.0,24850630.0,0.0,0.0,0.0,0.0,0.0,24850630.0,24850630.0,0.0,24850630.0,24850630.0,0,0,0,0,0,60,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,24850630.0,0.0,24850630.0,24850630.0,0
192.168.10.20-8.8.8.8-39262-5900-6,192.168.10.20,39262,8.8.8.8,5900,6,24/05/2022 06:45:19 AM,27239912,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,27239912.0,0.0,27239912.0,27239912.0,0.0,0.0,0.0,0.0,0.0,27239912.0,27239912.0,0.0,27239912.0,27239912.0,0,0,0,0,0,60,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,27239912.0,0.0,27239912.0,27239912.0,0
192.168.10.20-8.8.8.8-35582-15004-6,192.168.10.20,35582,8.8.8.8,15004,6,24/05/2022 06:45:21 AM,25362872,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,25362872.0,0.0,25362872.0,25362872.0,0.0,0.0,0.0,0.0,0.0,25362872.0,25362872.0,0.0,25362872.0,25362872.0,0,0,0,0,0,60,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,25362872.0,0.0,25362872.0,25362872.0,0
192.168.10.20-8.8.8.8-60772-726-6,192.168.10.20,60772,8.8.8.8,726,6,24/05/2022 06:45:22 AM,24119849,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,24119849.0,0.0,24119849.0,24119849.0,0.0,0.0,0.0,0.0,0.0,24119849.0,24119849.0,0.0,24119849.0,24119849.0,0,0,0,0,0,60,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,24119849.0,0.0,24119849.0,24119849.0,0
192.168.10.20-8.8.8.8-41788-6567-6,192.168.10.20,41788,8.8.8.8,6567,6,24/05/2022 06:45:22 AM,24852839,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,24852839.0,0.0,24852839.0,24852839.0,0.0,0.0,0.0,0.0,0.0,24852839.0,24852839.0,0.0,24852839.0,24852839.0,0,0,0,0,0,60,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,24852839.0,0.0,24852839.0,24852839.0,0
192.168.10.20-8.8.8.8-51616-23-6,192.168.10.20,51616,8.8.8.8,23,6,24/05/2022 06:45:19 AM,27006237,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,27006237.0,0.0,27006237.0,27006237.0,0.0,0.0,0.0,0.0,0.0,27006237.0,27006237.0,0.0,27006237.0,27006237.0,0,0,0,0,0,60,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,27006237.0,0.0,27006237.0,27006237.0,0
192.168.10.20-8.8.8.8-53026-5800-6,192.168.10.20,53026,8.8.8.8,5800,6,24/05/2022 06:45:23 AM,23754766,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,23754766.0,0.0,23754766.0,23754766.0,0.0,0.0,0.0,0.0,0.0,23754766.0,23754766.0,0.0,23754766.0,23754766.0,0,0,0,0,0,60,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,23754766.0,0.0,23754766.0,23754766.0,0
192.168.10.20-8.8.8.8-58142-9999-6,192.168.10.20,58142,8.8.8.8,9999,6,24/05/2022 06:45:22 AM,23975412,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,23975412.0,0.0,23975412.0,23975412.0,0.0,0.0,0.0,0.0,0.0,23975412.0,23975412.0,0.0,23975412.0,23975412.0,0,0,0,0,0,60,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,23975412.0,0.0,23975412.0,23975412.0,0
