Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
192.168.10.10-192.168.10.20-22-60626-6,192.168.10.20,60626,192.168.10.10,22,6,24/05/2022 07:33:41 AM,44,2,3,22.0,0.0,22.0,0.0,11.0,15.56,0.0,0.0,0.0,0.0,500000.0,113636.36,11.0,21.34,43.0,0.0,43.0,43.0,0.0,43.0,43.0,44.0,22.0,31.11,44.0,0.0,0,0,0,0,64,112,45454.55,68181.82,0.0,22.0,3.67,8.98,80.67,0,1,0,0,0,0,0,0,1.0,4.4,11.0,0.0,0,0,0,0,0,0,2,22,3,0,-1,509,1,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60630-6,192.168.10.20,60630,192.168.10.10,22,6,24/05/2022 07:33:41 AM,44,2,3,22.0,0.0,22.0,0.0,11.0,15.56,0.0,0.0,0.0,0.0,500000.0,113636.36,11.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,31.11,44.0,0.0,0,0,0,0,64,112,45454.55,68181.82,0.0,22.0,3.67,8.98,80.67,0,1,0,0,0,0,0,0,1.0,4.4,11.0,0.0,0,0,0,0,0,0,2,22,3,0,-1,509,1,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60628-6,192.168.10.20,60628,192.168.10.10,22,6,24/05/2022 07:33:41 AM,44,2,3,22.0,0.0,22.0,0.0,11.0,15.56,0.0,0.0,0.0,0.0,500000.0,113636.36,11.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,31.11,44.0,0.0,0,0,0,0,64,112,45454.55,68181.82,0.0,22.0,3.67,8.98,80.67,0,1,0,0,0,0,0,0,1.0,4.4,11.0,0.0,0,0,0,0,0,0,2,22,3,0,-1,509,1,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60652-6,192.168.10.20,60652,192.168.10.10,22,6,24/05/2022 11:37:56 AM,4620,2,1,22.0,0.0,22.0,0.0,11.0,15.56,0.0,0.0,0.0,0.0,4761.9,649.35,2310.0,3266.83,4620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,432.9,216.45,0.0,22.0,5.5,11.0,121.0,0,0,0,0,1,0,0,0,0.0,7.33,11.0,0.0,0,0,0,0,0,0,2,22,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60656-6,192.168.10.20,60656,192.168.10.10,22,6,24/05/2022 11:37:56 AM,3768,3,6,22.0,22.0,22.0,0.0,7.33,12.7,22.0,0.0,3.67,8.98,11677.28,2388.54,471.0,914.38,2398.0,0.0,0.0,0.0,0.0,0.0,0.0,3768.0,753.6,1094.05,2398.0,0.0,0,0,0,0,96,196,796.18,1592.36,0.0,22.0,4.4,9.28,86.04,0,1,0,0,0,0,0,0,2.0,4.89,7.33,3.67,0,0,0,0,0,0,3,22,6,22,-1,0,1,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60660-6,192.168.10.20,60660,192.168.10.10,22,6,24/05/2022 11:37:56 AM,1835,3,5,22.0,22.0,22.0,0.0,7.33,12.7,22.0,0.0,4.4,9.84,23978.2,4359.67,262.14,473.4,1184.0,0.0,651.0,325.5,460.33,651.0,0.0,1835.0,458.75,572.67,1184.0,0.0,0,0,0,0,96,176,1634.88,2724.8,0.0,22.0,4.89,9.7,94.11,0,1,0,0,0,0,0,0,1.0,5.5,7.33,4.4,0,0,0,0,0,0,3,22,5,22,-1,510,1,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60666-6,192.168.10.20,60666,192.168.10.10,22,6,24/05/2022 11:37:56 AM,16613,3,6,22.0,22.0,22.0,0.0,7.33,12.7,22.0,0.0,3.67,8.98,2648.53,541.74,2076.62,4095.35,11261.0,0.0,5352.0,2676.0,3572.3,5202.0,150.0,16613.0,3322.6,5066.72,11460.0,0.0,0,0,0,0,96,196,180.58,361.16,0.0,22.0,4.4,9.28,86.04,0,1,0,0,0,0,0,0,2.0,4.89,7.33,3.67,0,0,0,0,0,0,3,22,6,22,-1,0,1,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60620-6,192.168.10.20,60620,192.168.10.10,22,6,24/05/2022 07:32:59 AM,878,3,6,22.0,22.0,22.0,0.0,7.33,12.7,22.0,0.0,3.67,8.98,50113.9,10250.57,109.75,77.1,235.0,0.0,623.0,311.5,253.85,491.0,132.0,878.0,175.6,147.72,394.0,0.0,0,0,0,0,96,196,3416.86,6833.71,0.0,22.0,4.4,9.28,86.04,0,1,0,0,0,0,0,0,2.0,4.89,7.33,3.67,0,0,0,0,0,0,3,22,6,22,-1,0,1,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60662-6,192.168.10.20,60662,192.168.10.10,22,6,24/05/2022 11:37:56 AM,3786,3,6,22.0,22.0,22.0,0.0,7.33,12.7,22.0,0.0,3.67,8.98,11621.76,2377.18,473.25,895.11,2462.0,0.0,2642.0,1321.0,1868.18,2642.0,0.0,3786.0,757.2,1064.6,2462.0,0.0,0,0,0,0,96,196,792.39,1584.79,0.0,22.0,4.4,9.28,86.04,0,1,0,0,0,0,0,0,2.0,4.89,7.33,3.67,0,0,0,0,0,0,3,22,6,22,-1,0,1,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60648-6,192.168.10.20,60648,192.168.10.10,22,6,24/05/2022 11:37:56 AM,1377,3,6,22.0,22.0,22.0,0.0,7.33,12.7,22.0,0.0,3.67,8.98,31953.52,6535.95,172.12,323.85,796.0,0.0,581.0,290.5,410.83,581.0,0.0,1377.0,275.4,384.69,796.0,0.0,0,0,0,0,96,196,2178.65,4357.3,0.0,22.0,4.4,9.28,86.04,0,1,0,0,0,0,0,0,2.0,4.89,7.33,3.67,0,0,0,0,0,0,3,22,6,22,-1,0,1,0,0,0,0,0,0,0,0,0,0
