Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
192.168.100.9-192.168.100.117-55911-5000-6,192.168.100.9,55911,192.168.100.117,5000,6,22/05/2022 03:56:49 PM,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,2055,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.100.9-192.168.100.117-55912-5000-6,192.168.100.9,55912,192.168.100.117,5000,6,22/05/2022 03:56:49 PM,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,2055,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.100.9-192.168.100.117-55913-5000-6,192.168.100.9,55913,192.168.100.117,5000,6,22/05/2022 03:56:49 PM,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,2055,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.100.9-192.168.100.117-55914-5000-6,192.168.100.9,55914,192.168.100.117,5000,6,22/05/2022 03:56:49 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,2055,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.100.9-192.168.100.117-55916-5000-6,192.168.100.9,55916,192.168.100.117,5000,6,22/05/2022 03:56:49 PM,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,18.38,13.0,-13.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,32,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,505,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.100.9-192.168.100.117-55918-5000-6,192.168.100.9,55918,192.168.100.117,5000,6,22/05/2022 03:56:49 PM,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,42.43,30.0,-30.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,30.0,30.0,0,0,0,0,32,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,505,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.100.9-192.168.100.117-55920-5000-6,192.168.100.9,55920,192.168.100.117,5000,6,22/05/2022 03:56:49 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,2055,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.100.9-192.168.100.117-55925-5000-6,192.168.100.9,55925,192.168.100.117,5000,6,22/05/2022 03:57:11 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,2055,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.100.9-192.168.100.117-55925-5000-6,192.168.100.117,5000,192.168.100.9,55925,6,22/05/2022 03:57:11 PM,-49,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-40816.33,-49.0,0.0,-49.0,-49.0,0.0,0.0,0.0,0.0,0.0,-49.0,-49.0,0.0,-49.0,-49.0,0,0,0,0,0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2055,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.100.9-192.168.100.117-55928-5000-6,192.168.100.9,55928,192.168.100.117,5000,6,22/05/2022 03:57:11 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,2055,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
