Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
1951,192.168.10.20,51375,192.168.100.40,8888,6,11,21027953,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21027953.0,0.0,21027953.0,21027953.0,0.0,0.0,0.0,0.0,0.0,21027953.0,21027953.0,0.0,21027953.0,21027953.0,0,0,0,0,0,44,0.0,0.0951114927829637,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21027953.0,0.0,21027953.0,21027953.0,0
1409,192.168.10.20,51376,192.168.100.28,1025,6,15,21047701,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21047701.0,0.0,21047701.0,21047701.0,0.0,0.0,0.0,0.0,0.0,21047701.0,21047701.0,0.0,21047701.0,21047701.0,0,0,0,0,0,44,0.0,0.09502225444954772,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21047701.0,0.0,21047701.0,21047701.0,0
503,192.168.10.20,51376,192.168.100.15,8080,6,13,21052112,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21052112.0,0.0,21052112.0,21052112.0,0.0,0.0,0.0,0.0,0.0,21052112.0,21052112.0,0.0,21052112.0,21052112.0,0,0,0,0,0,44,0.0,0.09500234465786617,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21052112.0,0.0,21052112.0,21052112.0,0
1787,192.168.10.20,51375,192.168.100.37,1723,6,15,21052419,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21052419.0,0.0,21052419.0,21052419.0,0.0,0.0,0.0,0.0,0.0,21052419.0,21052419.0,0.0,21052419.0,21052419.0,0,0,0,0,0,44,0.0,0.09500095927218626,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21052419.0,0.0,21052419.0,21052419.0,0
1683,192.168.10.20,51376,192.168.100.34,445,6,15,21053754,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21053754.0,0.0,21053754.0,21053754.0,0.0,0.0,0.0,0.0,0.0,21053754.0,21053754.0,0.0,21053754.0,21053754.0,0,0,0,0,0,44,0.0,0.09499493534502207,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21053754.0,0.0,21053754.0,21053754.0,0
1604,192.168.10.20,51376,192.168.100.32,1723,6,16,21048730,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21048730.0,0.0,21048730.0,21048730.0,0.0,0.0,0.0,0.0,0.0,21048730.0,21048730.0,0.0,21048730.0,21048730.0,0,0,0,0,0,44,0.0,0.09501760913841358,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21048730.0,0.0,21048730.0,21048730.0,0
944,192.168.10.20,51376,192.168.100.20,3389,6,16,21038963,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21038963.0,0.0,21038963.0,21038963.0,0.0,0.0,0.0,0.0,0.0,21038963.0,21038963.0,0.0,21038963.0,21038963.0,0,0,0,0,0,44,0.0,0.0950617195343706,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21038963.0,0.0,21038963.0,21038963.0,0
1600,192.168.10.20,51375,192.168.100.32,8888,6,11,21033074,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21033074.0,0.0,21033074.0,21033074.0,0.0,0.0,0.0,0.0,0.0,21033074.0,21033074.0,0.0,21033074.0,21033074.0,0,0,0,0,0,44,0.0,0.0950883356374822,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21033074.0,0.0,21033074.0,21033074.0,0
923,192.168.10.20,51375,192.168.100.20,1025,6,14,21050069,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21050069.0,0.0,21050069.0,21050069.0,0.0,0.0,0.0,0.0,0.0,21050069.0,21050069.0,0.0,21050069.0,21050069.0,0,0,0,0,0,44,0.0,0.09501156504522623,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21050069.0,0.0,21050069.0,21050069.0,0
1560,192.168.10.20,51375,192.168.100.31,8080,6,13,21051635,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21051635.0,0.0,21051635.0,21051635.0,0.0,0.0,0.0,0.0,0.0,21051635.0,21051635.0,0.0,21051635.0,21051635.0,0,0,0,0,0,44,0.0,0.09500449727538976,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,21051635.0,0.0,21051635.0,21051635.0,0
