Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
192.168.10.10-192.168.10.20-22-60374-6,192.168.10.20,60374,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18668532,18,25,1686.0,2092.0,976.0,0.0,93.67,223.26,1080.0,0.0,83.68,232.86,202.37,2.3,444488.86,1144033.82,3710725.0,79.0,18668294.0,1098134.94,1610047.02,3711094.0,123.0,18668282.0,777845.08,1436152.36,3710725.0,132.0,0,0,0,0,576,816,0.96,1.34,0.0,1080.0,85.86,223.99,50170.31,0,1,0,0,0,0,0,0,1.0,87.86,93.67,83.68,0,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60372-6,192.168.10.20,60372,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18682311,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,202.22,2.25,455666.12,1155791.61,3710245.0,86.0,18682061.0,1167628.81,1636292.99,3710964.0,138.0,18682074.0,778419.75,1435642.15,3710245.0,100.0,0,0,0,0,544,816,0.91,1.34,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60386-6,192.168.10.20,60386,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18658072,19,25,1686.0,2092.0,976.0,0.0,88.74,218.03,1080.0,0.0,83.68,232.86,202.49,2.36,433908.65,1132293.57,3710435.0,1.0,18657869.0,1036548.28,1584261.98,3711044.0,155.0,18657981.0,777415.88,1436157.62,3710435.0,108.0,0,0,0,0,608,816,1.02,1.34,0.0,1080.0,83.96,221.8,49193.91,0,1,0,0,0,0,0,0,1.0,85.86,88.74,83.68,0,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60378-6,192.168.10.20,60378,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18681294,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,202.23,2.25,455641.32,1155938.94,3711165.0,87.0,18681038.0,1167564.88,1638474.2,3721592.0,153.0,18681122.0,778380.08,1435856.89,3711165.0,105.0,0,0,0,0,544,816,0.91,1.34,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60370-6,192.168.10.20,60370,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18711414,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,201.91,2.24,456375.95,1155652.33,3711826.0,0.0,18711175.0,1169448.44,1637769.9,3721945.0,144.0,18711159.0,779631.62,1435162.89,3711826.0,140.0,0,0,0,0,544,816,0.91,1.34,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60368-6,192.168.10.20,60368,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18712454,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,201.9,2.24,456401.32,1155531.46,3711244.0,0.0,18712202.0,1169512.62,1637988.46,3721482.0,220.0,18712199.0,779674.96,1434983.54,3711244.0,131.0,0,0,0,0,544,816,0.91,1.34,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60388-6,192.168.10.20,60388,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18586398,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,203.27,2.26,453326.78,1156619.22,3709943.0,99.0,18586071.0,1161629.44,1641279.52,3711002.0,164.0,18586232.0,774426.33,1437733.25,3709943.0,136.0,0,0,0,0,544,816,0.91,1.35,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60384-6,192.168.10.20,60384,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18691189,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,202.13,2.25,455882.66,1155829.28,3710534.0,85.0,18690923.0,1168182.69,1640627.63,3722129.0,230.0,18691007.0,778791.96,1435607.04,3710534.0,155.0,0,0,0,0,544,816,0.91,1.34,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60382-6,192.168.10.20,60382,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18693990,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,202.1,2.25,455950.98,1155849.55,3712230.0,88.0,18693611.0,1168350.69,1640550.78,3721777.0,88.0,18693647.0,778901.96,1435611.84,3712230.0,124.0,0,0,0,0,544,816,0.91,1.34,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60390-6,192.168.10.20,60390,192.168.10.10,22,6,24/05/2022 07:28:08 AM,18575593,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,203.39,2.26,453063.24,1156744.67,3710068.0,41.0,18575357.0,1160959.81,1640942.14,3710524.0,177.0,18575295.0,773970.62,1438016.69,3710068.0,112.0,0,0,0,0,544,816,0.92,1.35,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
