Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
32,192.168.10.20,53230,192.168.10.10,22,6,5,1093,2,4,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,5.5,11.0,20128,5489,218.6,168.20760981596518,512.0,118.0,721.0,721.0,0.0,721.0,721.0,1093.0,364.33333333333326,255.6684050353765,630.0,120.0,0,0,0,0,64,144,1829.8261665141808,3659.6523330283617,0.0,22.0,3.1428571428571432,8.315218406203,69.14285714285715,0,1,0,0,0,0,0,0,2.0,3.6666666666666665,0.0,5.5,0,0,0,0,0,2,0,4,22,-1,510,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
32,192.168.10.20,53230,192.168.10.10,22,6,5,93,1,1,0.0,22.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,0.0,236559,21505,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,32,10752.688172043012,10752.688172043012,0.0,22.0,14.666666666666668,12.701705922171767,161.33333333333331,0,0,0,1,1,0,0,0,1.0,22.0,0.0,22.0,0,0,0,0,0,1,0,1,22,-1,502,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
35,192.168.10.20,53236,192.168.10.10,22,6,5,536,1,4,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,5.5,11.0,41044,9328,134.0,44.751163858235756,200.0,102.0,0.0,0.0,0.0,0.0,0.0,536.0,178.66666666666663,115.9022576714247,312.0,102.0,0,0,0,0,32,144,1865.6716417910445,7462.686567164178,0.0,22.0,3.666666666666667,8.981462390204989,80.66666666666667,0,1,0,0,0,0,0,0,4.0,4.4,0.0,5.5,0,0,0,0,0,1,0,4,22,-1,510,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
18,192.168.10.20,53200,192.168.10.10,22,6,4,16748064,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,408489.3658536585,1058145.7457558895,3710616.0,0.0,16747800.0,1046737.5,1508134.003057421,3711529.0,206.0,16747787.0,697824.4583333333,1317792.9012537186,3710616.0,138.0,0,0,0,0,544,816,1.015042693889873,1.4927098439556954,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
20,192.168.10.20,53204,192.168.10.10,22,6,4,16759426,19,25,1686.0,2092.0,976.0,0.0,88.7368421052632,218.0307934686859,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,389754.09302325576,1036226.1253530434,3710813.0,70.0,16755314.0,930850.7777777779,1457691.683864053,3719542.0,144.0,16759219.0,698300.7916666665,1317560.2375938771,3710813.0,197.0,0,0,0,0,608,816,1.133690378178823,1.4916978660247668,0.0,1080.0,83.95555555555555,221.79699517961706,49193.907070707064,0,1,0,0,0,0,0,0,1.0,85.86363636363636,88.73684210526315,83.68,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
19,192.168.10.20,53202,192.168.10.10,22,6,4,16761097,18,25,1686.0,2092.0,976.0,0.0,93.66666666666664,223.25954297501315,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,399073.7380952381,1046993.2114189048,3710659.0,48.0,16760618.0,985918.7058823528,1482790.6644942234,3716989.0,134.0,16760886.0,698370.25,1317567.0070876274,3710659.0,165.0,0,0,0,0,576,816,1.073915388712326,1.4915491509893417,0.0,1080.0,85.86363636363636,223.9872910544506,50170.30655391119,0,1,0,0,0,0,0,0,1.0,87.86046511627907,93.66666666666669,83.68,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
22,192.168.10.20,53208,192.168.10.10,22,6,5,16784627,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,409381.14634146343,1057709.1018515574,3710427.0,0.0,16784380.0,1049023.75,1506288.291734908,3711091.0,265.0,16784398.0,699349.9166666667,1316832.3412088412,3710427.0,103.0,0,0,0,0,544,816,1.0128315630725664,1.489458180989068,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
23,192.168.10.20,53210,192.168.10.10,22,6,5,16795497,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,224,2,409646.2682926829,1057695.409997014,3710861.0,0.0,16790213.0,1049388.3125,1506545.2252256582,3713471.0,156.0,16795308.0,699804.4999999999,1316708.1195729715,3710861.0,279.0,0,0,0,0,544,816,1.0121760612383188,1.4884942077034098,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
21,192.168.10.20,53206,192.168.10.10,22,6,5,16845243,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,224,2,410859.5853658536,1057192.538418357,3710028.0,0.0,16844977.0,1052811.0625,1503562.311929349,3710770.0,203.0,16844952.0,701873.0,1315530.6047723135,3710028.0,214.0,0,0,0,0,544,816,1.0091869853109272,1.4840985078101872,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
26,192.168.10.20,53216,192.168.10.10,22,6,5,16820722,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,224,2,410261.51219512185,1057388.6105318405,3710209.0,98.0,16820484.0,1051280.25,1504597.155286801,3710781.0,233.0,16820404.0,700850.1666666665,1316040.5175200696,3710209.0,121.0,0,0,0,0,544,816,1.0106581631870502,1.486262004686838,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
25,192.168.10.20,53214,192.168.10.10,22,6,5,16832320,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,224,2,410544.3902439025,1057155.9253762395,3709611.0,83.0,16832081.0,1052005.0625,1504668.887579743,3714402.0,253.0,16832111.0,701337.9583333335,1315601.471381766,3709611.0,91.0,0,0,0,0,544,816,1.0099617877987108,1.4852379232333988,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
24,192.168.10.20,53212,192.168.10.10,22,6,5,16857160,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,224,2,411150.24390243896,1057162.022977717,3710748.0,89.0,16856911.0,1053556.9375,1504949.2562425472,3715906.0,156.0,16856921.0,702371.7083333333,1315371.8095241785,3710748.0,103.0,0,0,0,0,544,816,1.0084735507048637,1.4830493392718582,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
28,192.168.10.20,53220,192.168.10.10,22,6,5,16834171,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,224,2,410589.5365853658,1057366.3269594435,3710713.0,0.0,16833855.0,1052115.9375,1505721.0134497238,3713834.0,108.0,16833950.0,701414.5833333335,1315878.043951243,3710713.0,121.0,0,0,0,0,544,816,1.0098507375266652,1.4850746140098017,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
31,192.168.10.20,53228,192.168.10.10,22,6,5,16823961,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,224,2,410340.512195122,1057334.1998173078,3710236.0,78.0,16823732.0,1051483.25,1506123.1303820857,3713765.0,324.0,16823809.0,700992.0416666665,1315929.6075467113,3710236.0,151.0,0,0,0,0,544,816,1.0104635882120745,1.4859758650177564,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
36,192.168.10.20,53238,192.168.10.10,22,6,5,16799065,17,24,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,87.16666666666666,237.2010093582649,224,2,419976.625,1065022.851089282,3710027.0,67.0,16798847.0,1049927.9375,1507175.9452215466,3713150.0,175.0,16798739.0,730379.956521739,1331821.615525807,3710027.0,114.0,0,0,0,0,544,784,1.0119610823578575,1.428650939799328,0.0,1080.0,89.95238095238096,228.5626297667668,52240.875725900114,0,1,0,0,0,0,0,0,1.0,92.14634146341464,99.17647058823529,87.16666666666669,0,0,0,0,0,17,1686,24,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
37,192.168.10.20,53240,192.168.10.10,22,6,5,16805620,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,224,2,409893.17073170724,1057540.494047507,3710231.0,0.0,16805286.0,1050330.375,1508324.4578995097,3721485.0,171.0,16805374.0,700223.9166666667,1316396.0904898786,3710231.0,209.0,0,0,0,0,544,816,1.0115663688694614,1.4875976012786198,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
33,192.168.10.20,53232,192.168.10.10,22,6,5,16821258,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,224,2,410274.5853658537,1057321.034653004,3710096.0,50.0,16820984.0,1051311.5,1507137.4786926373,3718335.0,271.0,16821099.0,700879.125,1315937.4466154245,3710096.0,146.0,0,0,0,0,544,816,1.0106259591286215,1.4862146457773848,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
39,192.168.10.20,53244,192.168.10.10,22,6,5,16723548,19,25,1686.0,2092.0,976.0,0.0,88.7368421052632,218.0307934686859,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,388919.72093023255,1036487.1286622615,3710244.0,47.0,16723284.0,929071.3333333331,1457322.744035062,3710804.0,127.0,16723248.0,696802.0,1318301.98700654,3710244.0,140.0,0,0,0,0,608,816,1.1361225500713126,1.4948980921990955,0.0,1080.0,83.95555555555555,221.79699517961706,49193.907070707064,0,1,0,0,0,0,0,0,1.0,85.86363636363636,88.73684210526315,83.68,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0
