Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
88,927,9,6,3160,3060,1565,0,351.1111111111,688.2149817543,1524,0,510.0,785.4456060097,6709816,16181,66.2142857143,181.8355887022,694,2,927,115.875,277.9544862537,801,2,909,181.8,286.5225994577,694,47,0,0,0,0,204,144,9708.7378640777,6472.4919093851,0,1565,388.75,689.2425310924,475055.266666667,0,0,0,1,0,0,0,0,0,414.6666666667,351.1111111111,510.0,204,0,0,0,0,0,9,3160,6,3060,8192,2053,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
0,119719148,231,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,520518.034782609,2274525.81043689,20694308,0,119719148,520518.034782609,2274525.81043689,20694308,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1.9295159033,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,231,0,0,0,-1,-1,0,0,8721243.6,8761761.25805679,22509459,17,12685486.0,5296658.09642238,20694308,6499982,BENIGN
443,118356694,24,20,1607,5728,578,0,66.9583333333,161.6944190284,1460,0,286.4,508.1770723302,61,0,2752481.25581395,4386227.1221098,10177926,3,118356694,5145943.21739131,4906566.87790069,10201274,3,113849295,5992068.15789474,4938534.07204652,10201151,48,0,0,0,0,492,544,0.2027768704,0.1689807253,0,1460,163.0,371.130582263,137737.909090909,0,0,0,1,0,0,0,0,0,166.7045454545,66.9583333333,286.4,492,0,0,0,0,0,24,1607,20,5728,8192,1018,23,20,304868.545454545,934424.699788203,3122265,22919,10045076.0,57428.1341260536,10177926,9996749,BENIGN
443,60503379,17,13,4076,3219,2896,0,239.7647058824,715.2652068824,1533,0,247.6153846154,553.5956012683,120,0,2086323.4137931,4096618.37137571,10252005,15,60503379,3781461.1875,5004760.00794728,10336041,15,60416192,5034682.66666667,5226590.99947541,10336083,219,0,0,0,0,552,424,0.2809760427,0.2148640326,0,2896,235.3225806452,630.3692773339,397365.425806452,0,0,0,1,0,0,0,0,0,243.1666666667,239.7647058824,247.6153846154,552,0,0,0,0,0,17,4076,13,3219,29200,153,4,32,125029.5,100249.221817927,329662,83844,9958345.16666667,461749.870791283,10252005,9030399,BENIGN
123,68046076,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2,0,22682025.3333333,39207456.9678825,67954897,45167,68000064,68000064.0,0.0,68000064,68000064,68000909,68000909.0,0.0,68000909,68000909,0,0,0,0,40,52,0.0293918491,0.0293918491,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,0,0,0,0,0,2,96,2,96,-1,-1,1,20,45167.0,0.0,45167,45167,67954897.0,0.0,67954897,67954897,BENIGN
443,1117141,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,10,1,1117141.0,0.0,1117141,1117141,1117141,1117141.0,0.0,1117141,1117141,0,0.0,0.0,0,0,0,0,0,0,40,0,1.7902843061,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,490,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50197,3,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,12333333,666666,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.666666667,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,2,37,0,0,946,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,149797,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,74898.5,45145.2324448551,106821,42976,149797,74898.5,45145.2324448551,106821,42976,0,0.0,0.0,0,0,0,0,0,0,96,0,20.0271033465,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,3,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4857572,3,4,98,129,46,6,32.6666666667,23.0940107676,46,6,32.25,18.8745860882,46,1,809595.333333333,1929900.64645107,4748797,51,4827662,2413831.0,3302140.58488006,4748797,78865,4827823,1609274.33333333,2787129.26929347,4827574,51,1,0,0,0,60,80,0.6175924927,0.8234566569,6,46,34.125,18.1142209327,328.125,0,1,0,0,1,0,0,0,1,39.0,32.6666666667,32.25,60,0,0,0,0,0,3,98,4,129,258,127,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5463272,8,7,380,5463,205,0,47.5,76.45727098,2021,0,780.4285714286,838.3837341661,1069,2,390233.714285714,1371868.21624631,5151817,1,5463272,780467.428571429,1929819.77677924,5151817,1,288890,48148.3333333333,92593.164185412,235571,50,0,0,0,0,184,152,1.4643239436,1.2812834507,0,2021,365.1875,653.5025854323,427065.629166667,0,0,0,1,0,0,0,0,0,389.5333333333,47.5,780.4285714286,184,0,0,0,0,0,8,380,7,5463,8192,119,6,20,311454.0,0.0,311454,311454,5151817.0,0.0,5151817,5151817,BENIGN
