Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,12867303,14,19,2671,13807,693,0,190.7857142857,266.8713831883,1689,2,726.6842105263,695.7858908083,1280,2,402103.21875,1786193.69019887,9998987,49,2868058,220619.846153846,541366.294966548,2002228,221,12835214,713067.444444445,2367286.03638458,9999095,49,0,0,0,0,292,384,1.088029092,1.4766109106,0,1689,484.6470588235,607.9496531364,369602.780748663,0,0,0,1,0,0,0,0,1,499.3333333333,190.7857142857,726.6842105263,292,0,0,0,0,0,14,2671,19,13807,8192,34650,13,20,2868058.0,0.0,2868058,2868058,9998987.0,0.0,9998987,9998987,BENIGN,
53,1611024,2,2,97,279,56,41,48.5,10.6066017178,167,112,139.5,38.8908729653,233,2,537008.0,796591.210037495,1455443,34025,1576999,1576999.0,0.0,1576999,1576999,1489468,1489468.0,0.0,1489468,1489468,0,0,0,0,52,44,1.2414464341,1.2414464341,41,167,83.4,55.1207764822,3038.3,0,0,0,0,0,0,0,0,1,104.25,48.5,139.5,52,0,0,0,0,0,2,97,2,279,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
80,4,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3000000,500000,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,40,0,500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,103,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,116504,19417,103.0,0.0,103,103,103,103.0,0.0,103,103,0,0.0,0.0,0,0,0,0,0,0,40,0,19417.4757281553,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
123,64001210,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,5,0,9143030.0,24190038.0933539,64000880,3,64001031,21333677.0,36951007.2801112,64001025,3,64001066,21333688.6666667,36950987.6502086,64001014,4,0,0,0,0,104,104,0.0624988184,0.0624988184,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,54.0,48.0,48.0,104,0,0,0,0,0,4,192,4,192,-1,-1,3,20,148.0,0.0,148,148,64000880.0,0.0,64000880,64000880,BENIGN,
49212,2,2,0,37,0,37,0,18.5,26.1629509039,0,0,0.0,0.0,18500000,1000000,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,1,0,0,0,64,0,1000000.0,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,2,37,0,0,114,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
123,66030616,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2,0,22010205.3333333,38068958.3218631,65968452,30628,65999988,65999988.0,0.0,65999988,65999988,65999080,65999080.0,0.0,65999080,65999080,0,0,0,0,40,40,0.0302889799,0.0302889799,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,0,0,0,0,0,2,96,2,96,-1,-1,1,20,31536.0,0.0,31536,31536,65968452.0,0.0,65968452,65968452,BENIGN,
50501,9343,6,1,451,6,303,6,75.1666666667,113.4238364131,6,6,6.0,0.0,48913,749,1557.1666666667,2396.20077762,4931,0,9343,1868.6,2562.2490706409,4931,0,0,0.0,0.0,0,0,1,0,0,0,120,20,642.1920154126,107.0320025688,6,303,95.0,129.7635211782,16838.5714285714,0,1,0,0,1,0,0,0,0,108.5714285714,75.1666666667,6.0,120,0,0,0,0,0,6,451,1,6,343,0,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
50573,186,3,1,43,6,31,6,14.3333333333,14.4337567297,6,6,6.0,0.0,263440,21505,62.0,87.7895210148,163,4,186,93.0,125.8650070512,182,4,0,0.0,0.0,0,0,0,0,0,0,60,20,16129.0322580645,5376.3440860215,6,31,11.0,11.1803398875,125.0,0,0,0,0,1,0,0,0,0,13.75,14.3333333333,6.0,60,0,0,0,0,0,3,43,1,6,946,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,154048,1,1,45,152,45,45,45.0,0.0,152,152,152.0,0.0,1278,12,154048.0,0.0,154048,154048,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,40,6.4914831741,6.4914831741,45,152,80.6666666667,61.7764788033,3816.3333333333,0,0,0,0,0,0,0,0,1,121.0,45.0,152.0,32,0,0,0,0,0,1,45,1,152,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
