Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,External IP
37561,2264,60130,2741,53,17,13602,500,1,1,51.0,111.0,51.0,51.0,51.0,0.0,111.0,111.0,111.0,0.0,324000,4000,500.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,2000.0,2000.0,51.0,111.0,71.0,34.64101615137755,1200.0,0,0,0,0,0,0,0,0,1.0,106.5,51.0,111.0,0,0,0,0,0,0,1,51,1,111,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
224618,2265,52193,7288,443,6,15491,11291653,11,13,869.0,13413.0,461.0,0.0,79.00000000000001,147.5120334074478,2920.0,0.0,1031.769230769231,860.771858454778,1264,2,490941.4347826087,1636770.0740488549,6851870.0,41.0,11291653.0,1129165.3,2403854.6244778084,6871914.0,123.0,7035079.0,586256.5833333334,1979600.087315501,6871879.0,48.0,0,0,0,0,232,272,0.9741709207677564,1.151292906361894,0.0,2920.0,571.28,786.8049059328494,619061.96,0,0,0,1,0,0,0,0,1.0,595.0833333333334,79.0,1031.7692307692307,0,0,0,0,0,0,11,869,13,13413,8192,114,10,20,233799.0,0.0,233799.0,233799.0,6851870.0,0.0,6851870.0,6851870.0,BENIGN,0.0
23,2262,123,950,123,17,17678,94112,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,1020,21,94112.0,0.0,94112.0,94112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,10.625637538252295,10.625637538252295,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
232471,2267,50318,5212,80,6,21768,115322849,16,14,578.0,248.0,578.0,0.0,36.12500000000001,144.5,248.0,0.0,17.714285714285715,66.28078799428125,7,0,3976649.9655172406,4880885.620014631,10015862.0,47.0,115322849.0,7688189.9333333345,4189728.9096592,10047932.0,47.0,110540087.0,8503083.615384616,3766263.49140054,10047974.0,1075.0,0,0,0,0,520,456,0.1387409358920711,0.1213983189055622,0.0,578.0,26.645161290322584,111.5913821006792,12452.636559139786,0,0,0,1,0,0,0,0,0.0,27.53333333333333,36.125,17.714285714285715,0,0,0,0,0,0,16,578,14,248,29200,942,1,32,35210.63636363636,10334.104511497137,66369.0,32052.0,10013919.545454543,5115.547094175301,10015862.0,9998924.0,BENIGN,0.0
45239,5252,443,2742,44266,6,2855,4,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,7750000,500000,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,500000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,110,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
145640,2261,34719,2750,389,6,6858,40,1,4,0.0,24.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,600000,125000,10.0,9.83192080250175,22.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,7.0,14.0,1.0,0,0,0,0,32,80,25000.0,100000.0,0.0,6.0,4.0,3.0983866769659336,9.6,0,0,0,0,1,1,0,0,4.0,4.8,0.0,6.0,0,0,0,0,0,0,1,0,4,24,412,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
75693,2143,53297,4285,443,6,110,267486,13,7,1137,3790.0,661,0,87.46153846,188.3589726,2796,0,541.4285714,1018.500181,18419,74,14078.21053,20698.51791,62118.0,1.0,267486.0,22290.5,22438.32442,62118.0,1.0,209023.0,34837.16667,41425.1736,99013.0,3.0,0,0,0,0,428,232,48.60067443,26.16959392,0,2796,234.6190476,618.2756243,382264.7476,0,0,0,1,0,0,0,0,0,246.35,87.46153846,541.4285714,0,0,0,0,0,0,13,1137,7,3790,65535,119,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
206515,3597,443,2563,6338,6,231,191,3,1,77,0.0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,403141,20942,63.66666667,57.17808438,113.0,1.0,191.0,95.5,133.6431816,190.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,20,15706.80628,5235.602094,0,46,24.6,23.27659769,541.8,0,1,0,0,1,0,0,0,0,30.75,25.66666667,0.0,0,0,0,0,0,0,3,77,1,0,123,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
109176,2139,61244,2558,53,17,385,232,2,2,132,388.0,66,66,66.0,0.0,194,194,194.0,0.0,2241379,17241,77.33333333,130.4849928,228.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,8620.689655,8620.689655,66,194,117.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,146.5,66.0,194.0,0,0,0,0,0,0,2,132,2,388,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
121607,2141,14810,2558,53,17,352,147,2,2,88,188.0,44,44,44.0,0.0,94,94,94.0,0.0,1877551,27210,49.0,82.27393269,144.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,64,64,13605.44218,13605.44218,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
